community;subscribers;name;url
0;10300;The National Desk;https://www.youtube.com/channel/UCvAnclelY8eSq8GyPE19KTw
0;10400;Coolins335;https://www.youtube.com/channel/UCUiXvv87tU6IHkjfH8CDJGA
0;10400;NBC 26;https://www.youtube.com/channel/UCNFZ_RT98Ri4i-N5eL7IH5w
0;10700;Radio 419 MegaHertz;https://www.youtube.com/channel/UCfvNrrg2yltepcCD9fl1y5Q
0;10900;Minnesota Guardian;https://www.youtube.com/channel/UCCTovkyohJRHuXVwFHeV9kw
0;11000;WACH FOX;https://www.youtube.com/channel/UC4lUbhVTe4sdXlSvh-jwp5A
0;11100;wgaltv;https://www.youtube.com/channel/UCaqEHP76q9TblVUO3sHFSQQ
0;11100;KRGV;https://www.youtube.com/channel/UCoDyBtyP-3WC6z56EMMnj6A
0;11200;chattanooga times fr...;https://www.youtube.com/channel/UCE0UPDWdE4YVkaS7rZS1F5w
0;11398;GettingLifeRight;https://www.youtube.com/channel/UC16jEFScVGN9qSyVuCWM74Q
1;10300;Julia Blog;https://www.youtube.com/channel/UCqSR91bTcQyrSZpUdGpJy1w
1;10300;ForexLive;https://www.youtube.com/channel/UCpuHc1_Ygi07bbL2XHmmRLw
1;10600;MintPressNews;https://www.youtube.com/channel/UCc9UUSOBWC6VCkJUqnh-CLw
1;10600;A Blue Dot In Texas;https://www.youtube.com/channel/UC9pXxdNqCc2zjgRXSoowNNg
1;10800;anactualjoke;https://www.youtube.com/channel/UC-CDQ-MPUdBWcjB7SrD1HZA
1;10800;Daily Kos;https://www.youtube.com/channel/UC1Z1i5ClfrJhyu9z1hlmDkQ
1;11200;Nerds for Andrew Yan...;https://www.youtube.com/channel/UCZcDgWig0A-ZLfCmReFBVjQ
1;11435;Our Hidden History;https://www.youtube.com/channel/UCbfzszfxZr4qmeZjZ_3R_Pw
1;11600;Greg Palast;https://www.youtube.com/channel/UCOKBZV2gm_3KYsa9urOd6uA
1;12000;HelmerReenberg;https://www.youtube.com/channel/UCDBAOsRNqsx5kz-w4Im7M5A
2;10500;Parse The Noise;https://www.youtube.com/channel/UCXMKJkrhB1Bgw8xRaRpEa3Q
2;10800;SikhAwarenessSociety...;https://www.youtube.com/channel/UC5hjtX5EkWzLE4YZ-qLS_pA
2;10800;Strategian;https://www.youtube.com/channel/UClZY-A9DGiR10ZlUMTLjDBQ
2;11000;Green Party of Engla...;https://www.youtube.com/channel/UCGN-NVD_FT_Kyv_VdUxzc7A
2;11200;Westmonster;https://www.youtube.com/channel/UCnVjidHzypKf5oTKWSA1G3g
2;11800;ist;https://www.youtube.com/channel/UCZ-vAQadm_AT8cqwMRJFrpA
2;12000;BhamUrbanNewsUK;https://www.youtube.com/channel/UC9QRy6VmeQILt4BN85lBOyg
2;12500;BeanymanNews;https://www.youtube.com/channel/UCAOXZ7I9ysmFc_1gQuBIFXw
2;12900;James Goddard;https://www.youtube.com/channel/UCGxFNMDlSqlWWCEYHQypruQ
2;13100;PINACI news;https://www.youtube.com/channel/UCnY_T4xWN8_PZagrn5pR7qA
3;10202;The Word, the Sign a...;https://www.youtube.com/channel/UCaGhcqoEl_Ax38aPTskSupQ
3;10300;brian hanley;https://www.youtube.com/channel/UC2Wt3nXGRe1eo0Y2hiMfq5w
3;10700;Titus Frost 1984;https://www.youtube.com/channel/UCGgGXhOxkow8tQ-DZw9P0Xw
3;10900;Harvey Dent's Fact F...;https://www.youtube.com/channel/UCBOjUoYy4CuNOXDMJuhGjcg
3;11100;Terry Malone;https://www.youtube.com/channel/UC5tEV5xc6NAJynMX-7vsa5Q
3;11300;Masfaith3;https://www.youtube.com/channel/UC5gbB_JrLU0QQhu39t8f5Mw
3;11300;ZGoldenReport;https://www.youtube.com/channel/UCeDb8-5_SkzGA1hajfflbpg
3;11300;Crowdsource the Trut...;https://www.youtube.com/channel/UC6e48gru_N9w-tyqMCrI9Qw
3;11435;ENDTIME APOSTASY;https://www.youtube.com/channel/UCrrIELWlrcgDn5jFwh8k_bQ
3;11600;Know More News 2;https://www.youtube.com/channel/UCz3QRglH_VPC5fjd3vekSsg
4;10200;ncbookz.com llc;https://www.youtube.com/channel/UCXHw5vQvEhrL9UeQYoCVS3A
4;10200;BlackAndRight;https://www.youtube.com/channel/UC7KuzeXXWJSjKV7ZIWH7GHA
4;10200;Tailed Feature;https://www.youtube.com/channel/UCbISTP_6UvCsEm3-QL6cRtw
4;10300;Patty Politics;https://www.youtube.com/channel/UCTGz0Hu28FNQoxfskZYffZw
4;10500;tmcleanful;https://www.youtube.com/channel/UCQZ1lsBP6eMCQXxk41XpMew
4;11400;Foundational Future;https://www.youtube.com/channel/UC3FqYK9UCKtmcTwSYo7mwpw
4;11800;DIRE WOLF;https://www.youtube.com/channel/UCASAPdGVmsA2Hepq-TAbQ3w
4;12000;FreedomWorks;https://www.youtube.com/channel/UCh2Lgr3oLSvY3m4_tXJ8Dtw
4;12300;Liberal Democrats (A...;https://www.youtube.com/channel/UCsvfbwAdMhf9m_zb_pQO4vQ
4;12700;EMAN67 (Movies,polit...;https://www.youtube.com/channel/UCnOofSLpyiDQcThNKf2JJGw
5;10000;Trumpennials;https://www.youtube.com/channel/UCWtAa1fyxYxR1gAH-IZtaXg
5;10279;David The Gay Republ...;https://www.youtube.com/channel/UC_Qdfs7iE_3khDYIu4Nof8A
5;10422;Bud Meyers;https://www.youtube.com/channel/UCo6qks4XPFb2CSYe_KVnc5Q
5;10500;Red Eagle Politics;https://www.youtube.com/channel/UC0SMGmU6X9zJBGCGarr7ODQ
5;10500;The American Mirror;https://www.youtube.com/channel/UCnkG_c5cyemVVsgCDoHiXew
5;10500;James T Harris;https://www.youtube.com/channel/UCn_WfMGQSVJFzM20pQctuug
5;11200;Clarence A Mason aka...;https://www.youtube.com/channel/UCntL4PxpV-YZi87E1fCZ27Q
5;11814;Power Tie;https://www.youtube.com/channel/UCJoRlH_MT4D2F8-Om-fioQg
5;12000;senatormikelee;https://www.youtube.com/channel/UCplVxs_j_sLAt0fkplXcl4A
5;12020;Julie Mora;https://www.youtube.com/channel/UCr30rkVszi-eguaGYb6BwiA
