channel;community
2051;0
1028;0
2054;0
7;0
6;0
9;0
10;0
266;0
267;0
15;0
1552;0
1039;0
534;0
280;0
1050;0
1053;0
1312;0
37;0
1317;0
1577;0
2095;0
561;0
308;0
53;0
822;0
821;0
313;0
2106;0
61;0
67;0
582;0
839;0
1353;0
331;0
78;0
1876;0
1110;0
88;0
344;0
96;0
610;0
1383;0
1130;0
1132;0
622;0
879;0
626;0
374;0
1400;0
122;0
384;0
642;0
391;0
904;0
137;0
1160;0
2186;0
397;0
1422;0
142;0
1680;0
1678;0
925;0
413;0
931;0
1190;0
683;0
428;0
173;0
945;0
691;0
692;0
442;0
191;0
1218;0
708;0
709;0
200;0
1225;0
969;0
714;0
972;0
1743;0
1487;0
1489;0
1237;0
469;0
1751;0
215;0
985;0
728;0
987;0
1501;0
995;0
741;0
744;0
1517;0
1265;0
246;0
1526;0
1787;0
252;0
256;1
515;1
261;1
8;1
265;1
16;1
273;1
275;1
21;1
278;1
277;1
279;1
1307;1
29;1
286;1
1311;1
32;1
546;1
1829;1
1579;1
302;1
1328;1
309;1
565;1
311;1
56;1
62;1
326;1
71;1
1095;1
1099;1
76;1
77;1
82;1
597;1
1625;1
92;1
349;1
861;1
93;1
355;1
1897;1
1643;1
881;1
370;1
376;1
120;1
121;1
379;1
136;1
140;1
144;1
145;1
402;1
147;1
148;1
404;1
1686;1
661;1
408;1
2200;1
153;1
674;1
165;1
422;1
679;1
169;1
432;1
179;1
181;1
184;1
957;1
192;1
195;1
453;1
201;1
203;1
716;1
1485;1
205;1
1996;1
208;1
209;1
722;1
212;1
221;1
492;1
1017;1
251;1
1023;1
772;2
1158;2
11;2
652;2
141;2
270;2
525;2
1810;2
1172;2
1684;2
662;2
407;2
1175;2
794;2
155;2
1820;2
672;2
166;2
423;2
552;2
1576;2
555;2
1710;2
1455;2
176;2
307;2
1337;2
315;2
699;2
444;2
830;2
1471;2
576;2
705;2
1988;2
1611;2
974;2
339;2
852;2
342;2
855;2
471;2
87;2
90;2
991;2
1249;2
97;2
229;2
1000;2
365;2
878;2
366;2
367;2
494;2
240;2
1392;2
1136;2
759;2
889;2
508;2
125;2
767;2
640;3
770;3
259;3
386;3
517;3
1541;3
1416;3
1418;3
1163;3
1805;3
1550;3
1168;3
143;3
403;3
1814;3
790;3
23;3
1302;3
796;3
927;3
1056;3
673;3
675;3
803;3
557;3
815;3
2225;3
310;3
1334;3
824;3
1336;3
1210;3
567;3
1084;3
696;3
446;3
64;3
1089;3
1090;3
1091;3
1858;3
583;3
328;3
202;3
1867;3
1612;3
207;3
1616;3
211;3
468;3
858;3
859;3
735;3
612;3
101;3
1638;3
484;3
238;3
499;3
756;3
1139;3
1271;3
512;4
1025;4
514;4
1029;4
519;4
1032;4
521;4
1031;4
2065;4
530;4
1042;4
536;4
537;4
539;4
1568;4
548;4
2086;4
1574;4
554;4
1581;4
1589;4
1082;4
1086;4
575;4
2113;4
578;4
580;4
584;4
1097;4
586;4
588;4
1614;4
1615;4
1106;4
599;4
1112;4
1116;4
609;4
611;4
2152;4
617;4
2156;4
109;4
1134;4
629;4
1143;4
632;4
633;4
1146;4
126;4
641;4
643;4
644;4
645;4
646;4
650;4
653;4
1165;4
655;4
658;4
660;4
664;4
665;4
666;4
152;4
1186;4
676;4
2216;4
680;4
1195;4
1199;4
693;4
698;4
1722;4
701;4
700;4
1215;4
706;4
707;4
1222;4
199;4
712;4
1226;4
717;4
1229;4
1235;4
723;4
2261;4
730;4
732;4
1756;4
1247;4
754;4
1782;4
1274;4
763;4
253;4
771;4
1303;4
1304;4
792;4
284;4
1309;4
802;4
805;4
293;4
813;4
816;4
318;4
1344;4
836;4
1352;4
336;4
340;4
341;4
853;4
1881;4
348;4
352;4
1377;4
1889;4
867;4
1376;4
1381;4
360;4
1910;4
893;4
894;4
898;4
900;4
388;4
905;4
394;4
908;4
396;4
911;4
913;4
405;4
919;4
409;4
1439;4
1957;4
1446;4
935;4
424;4
939;4
429;4
943;4
953;4
443;4
1982;4
960;4
448;4
460;4
1484;4
462;4
1999;4
982;4
473;4
1499;4
989;4
2016;4
482;4
998;4
1514;4
1003;4
1515;4
491;4
1007;4
1520;4
502;4
1016;4
187;5
31;5
