author;score;num_comments;p_score
653221;-16.0;28;-0.5714285714285714
32192;-9.5;28;-0.3392857142857143
529258;-12.0;28;-0.42857142857142855
433267;0.0;28;0.0
450687;-1.5;28;-0.05357142857142857
181668;-28.0;28;-1.0
72551;-15.0;28;-0.5357142857142857
562358;8.5;28;0.30357142857142855
483933;-11.5;28;-0.4107142857142857
50213;-16.5;28;-0.5892857142857143
183607;9.5;28;0.3392857142857143
87985;-10.0;28;-0.35714285714285715
85976;-13.5;28;-0.48214285714285715
314850;18.5;28;0.6607142857142857
62519;-16.0;28;-0.5714285714285714
572116;-11.5;28;-0.4107142857142857
569467;-21.5;28;-0.7678571428571429
546299;21.5;29;0.7413793103448276
244552;-21.5;29;-0.7413793103448276
645563;-21.5;29;-0.7413793103448276
606866;-25.0;29;-0.8620689655172413
193683;-12.5;29;-0.43103448275862066
166849;-11.5;29;-0.39655172413793105
278110;29.0;29;1.0
60501;-15.5;29;-0.5344827586206896
101758;13.5;29;0.46551724137931033
525410;-29.0;29;-1.0
185463;-28.5;29;-0.9827586206896551
181580;26.5;29;0.9137931034482759
478529;-22.0;29;-0.7586206896551724
547595;-12.5;30;-0.4166666666666667
496563;-26.0;30;-0.8666666666666667
126455;-7.5;30;-0.25
86823;-6.0;30;-0.2
375159;-19.5;30;-0.65
406690;-15.5;30;-0.5166666666666667
591525;15.0;30;0.5
448275;-9.0;31;-0.2903225806451613
482478;-20.0;31;-0.6451612903225806
359177;-14.5;31;-0.46774193548387094
396939;12.5;31;0.4032258064516129
386019;-28.5;31;-0.9193548387096774
511454;-22.0;31;-0.7096774193548387
494153;3.0;31;0.0967741935483871
478015;-27.0;31;-0.8709677419354839
443924;-30.0;31;-0.967741935483871
190945;-0.5;31;-0.016129032258064516
566332;23.0;31;0.7419354838709677
545542;-17.5;31;-0.5645161290322581
586355;23.5;31;0.7580645161290323
641660;-15.0;31;-0.4838709677419355
300106;3.5;32;0.109375
516387;28.0;32;0.875
406059;28.0;32;0.875
64077;-30.5;32;-0.953125
479757;-31.5;32;-0.984375
640926;-7.0;32;-0.21875
379166;-15.5;32;-0.484375
133452;-13.0;32;-0.40625
462669;-14.5;32;-0.453125
262564;-19.0;33;-0.5757575757575758
587726;-30.0;33;-0.9090909090909091
196242;-22.0;33;-0.6666666666666666
369789;13.0;33;0.3939393939393939
192553;23.5;33;0.7121212121212122
192381;6.5;33;0.19696969696969696
397285;-1.5;33;-0.045454545454545456
259152;19.5;33;0.5909090909090909
528031;2.5;33;0.07575757575757576
153868;-17.0;33;-0.5151515151515151
124297;-1.0;33;-0.030303030303030304
465639;-26.0;33;-0.7878787878787878
253227;-18.5;33;-0.5606060606060606
157971;-2.0;33;-0.06060606060606061
32792;-23.5;33;-0.7121212121212122
445063;-3.5;33;-0.10606060606060606
480568;-28.0;34;-0.8235294117647058
239066;-22.0;34;-0.6470588235294118
561939;26.5;34;0.7794117647058824
516266;-12.0;34;-0.35294117647058826
10646;26.0;34;0.7647058823529411
612670;-1.0;34;-0.029411764705882353
519935;-13.0;34;-0.38235294117647056
221125;-29.5;34;-0.8676470588235294
284796;-29.5;34;-0.8676470588235294
606172;-7.5;34;-0.22058823529411764
455143;-19.5;34;-0.5735294117647058
380326;-28.5;34;-0.8382352941176471
384690;-15.0;34;-0.4411764705882353
564505;-16.5;34;-0.4852941176470588
132808;-8.0;34;-0.23529411764705882
362825;28.5;34;0.8382352941176471
501435;-4.0;34;-0.11764705882352941
90994;-10.5;34;-0.3088235294117647
158764;35.0;35;1.0
83683;-14.0;35;-0.4
516948;-18.0;35;-0.5142857142857142
428629;-19.0;35;-0.5428571428571428
179673;13.5;35;0.38571428571428573
216669;-5.5;35;-0.15714285714285714
53990;-7.5;35;-0.21428571428571427
509953;-5.5;35;-0.15714285714285714
72053;-15.5;35;-0.44285714285714284
98559;-2.5;36;-0.06944444444444445
253161;36.0;36;1.0
546324;-10.0;36;-0.2777777777777778
21066;-23.0;36;-0.6388888888888888
657235;-36.0;36;-1.0
257364;-14.5;36;-0.4027777777777778
607777;29.5;37;0.7972972972972973
84761;7.0;37;0.1891891891891892
417927;-19.0;37;-0.5135135135135135
85588;-9.5;37;-0.25675675675675674
438006;-21.5;37;-0.581081081081081
230151;-9.5;37;-0.25675675675675674
284588;8.0;37;0.21621621621621623
250187;-35.0;37;-0.9459459459459459
234427;-37.5;38;-0.9868421052631579
271989;38.0;38;1.0
301047;-29.5;38;-0.7763157894736842
270024;-30.5;38;-0.8026315789473685
268471;-22.5;38;-0.5921052631578947
624736;-10.0;38;-0.2631578947368421
338588;-24.5;38;-0.6447368421052632
408909;-24.5;38;-0.6447368421052632
414587;-25.0;38;-0.6578947368421053
635652;-13.5;39;-0.34615384615384615
295152;-3.0;39;-0.07692307692307693
512305;11.0;39;0.28205128205128205
278491;13.5;39;0.34615384615384615
154771;29.0;39;0.7435897435897436
621210;6.0;40;0.15
268413;-1.5;40;-0.0375
499442;-32.5;40;-0.8125
421936;-36.0;40;-0.9
71073;-28.5;40;-0.7125
159226;-12.5;41;-0.3048780487804878
588947;-34.0;41;-0.8292682926829268
547300;-6.0;41;-0.14634146341463414
569870;-38.5;41;-0.9390243902439024
295883;17.0;41;0.4146341463414634
34687;-6.5;41;-0.15853658536585366
600941;-17.5;42;-0.4166666666666667
89229;-5.5;42;-0.13095238095238096
172863;-12.5;42;-0.2976190476190476
327928;-33.0;42;-0.7857142857142857
75166;-0.5;42;-0.011904761904761904
540721;-27.5;43;-0.6395348837209303
46827;-9.5;43;-0.22093023255813954
38649;-19.5;43;-0.45348837209302323
312826;10.0;44;0.22727272727272727
483169;-16.0;44;-0.36363636363636365
9722;31.5;44;0.7159090909090909
91905;-3.0;44;-0.06818181818181818
326524;-42.0;45;-0.9333333333333333
432130;-6.5;45;-0.14444444444444443
