author;channel_num
4;109
9;253
24;192
30;7
30;10
33;91
33;269
36;430
36;765
42;3
66;22
66;167
93;177
96;7
96;9
97;141
141;3
141;4
141;19
141;70
141;470
146;97
197;677
269;6
269;8
269;10
269;972
284;125
284;240
284;709
297;199
298;246
336;10
349;213
377;7
429;1633
450;878
466;10
521;45
540;507
582;24
593;7
597;13
597;133
606;7
606;9
606;32
606;192
606;366
617;9
617;10
643;285
702;24
702;46
702;188
702;217
702;262
702;321
743;10
743;76
800;32
881;34
903;81
933;13
933;54
933;464
943;78
994;9
1009;3
1009;43
1015;6
1021;407
1021;617
1063;3
1063;70
1093;3
1115;31
1117;234
1139;461
1155;153
1158;24
1175;1287
1177;104
1192;3
1192;12
1192;63
1192;65
1192;105
1192;159
1192;172
1192;236
1218;139
1247;10
1247;64
1265;310
1276;142
1276;651
1278;413
1300;30
1304;31
1304;64
1304;148
1304;187
1304;208
1304;723
1304;1039
1315;195
1317;10
1329;7
1334;331
1336;163
1351;109
1371;1312
1371;1944
1378;115
1378;118
1378;419
1399;202
1399;722
1410;722
1415;755
1455;90
1461;44
1534;2
1534;3
1534;70
1534;100
1548;6
1548;64
1548;76
1548;429
1551;140
1551;307
1560;6
1560;9
1560;96
1560;179
1561;79
1612;31
1612;328
1674;550
1694;303
1771;9
1771;10
1777;201
1825;2257
1861;1330
1864;21
1864;32
1957;3
1989;98
1989;112
2000;8
2003;318
2031;31
2031;76
2073;9
2081;57
2081;183
2097;6
2097;7
2097;21
2097;265
2119;10
2144;32
2171;852
2174;293
2215;935
2238;169
2238;2218
2288;24
2288;27
2288;85
2288;350
2288;493
2310;1351
2333;10
2333;11
2333;97
2354;183
2366;6
2366;11
2366;90
2366;176
2366;240
2366;318
2366;339
2366;342
2366;443
2366;519
2366;576
2366;611
2366;612
2366;672
2366;794
2366;852
2366;855
2366;903
2366;1077
2366;1165
2378;45
2378;150
2394;1798
2399;4
2399;19
2399;54
2404;7
2404;142
2404;207
2408;10
2433;6
2466;31
2520;93
2521;148
2522;90
2522;148
2522;240
2522;460
2522;502
2522;519
2522;530
2522;717
2522;754
2522;867
2522;889
2522;1107
2522;1377
2522;1431
2522;1515
2523;7
2525;78
2541;287
2564;1088
2581;96
2590;173
2600;31
2600;87
2600;125
2600;331
2600;443
2600;473
2600;494
2600;633
2600;741
2600;1977
2609;269
2635;695
2648;7
2648;169
2668;11
2708;32
2793;534
2831;13
2831;31
2831;34
2831;54
2831;94
2831;178
2831;179
2831;187
2831;292
2831;329
2831;420
2831;645
2831;776
2831;991
2831;1040
2843;44
2843;133
2843;178
2843;451
2850;9
2878;56
2878;313
2885;327
2885;395
2897;262
2903;678
2908;1649
2909;946
2913;10
2913;31
2913;428
2913;582
2913;629
2913;1447
2913;2086
2914;1502
2922;88
2940;9
2943;9
2959;34
2990;9
2990;96
2990;463
3008;42
3008;75
3008;118
3008;287
3024;229
3034;90
3034;2014
3044;530
3044;725
3044;1180
3053;104
3053;174
3100;43
3122;87
3122;370
3128;221
3201;280
3201;1602
3230;8
3278;420
3346;720
3363;622
3371;29
3371;147
3371;634
3389;313
3389;1134
3418;188
3457;1
3457;2
3457;3
3457;4
3457;13
3457;19
3457;70
3457;94
3457;98
3457;104
3457;359
3457;418
3457;456
3468;11
3508;9
3508;56
3508;207
3508;229
3533;4
3559;3
3559;149
3559;170
3606;8
3606;492
3612;530
3638;65
3638;170
3641;112
3683;21
3685;21
3685;617
3685;1524
3696;24
3696;321
3767;97
3831;31
3864;6
3865;10
3866;337
3879;239
3898;7
3971;32
3971;90
3971;121
3971;433
4053;78
4058;276
4106;7
4150;6
4150;90
4150;96
4150;125
4150;140
4150;202
4150;878
4150;959
4150;1477
4150;2255
4160;11
4160;31
4160;202
4205;54
4205;461
4236;7
4236;209
4295;3
4295;13
4295;25
4295;94
4295;100
4299;9
4322;65
4322;100
4330;9
4362;4
4362;303
4404;190
4451;9
4464;9
4493;50
4533;120
4590;32
4590;176
4590;519
4590;909
4610;63
4610;89
4610;159
4610;172
4610;454
4676;121
4681;88
4681;413
4686;236
4699;204
4707;10
4707;120
4720;78
4736;93
4736;148
4736;179
4736;202
4736;402
4736;529
4736;546
4736;1027
4736;1205
4736;1392
4736;1408
4736;1778
4746;129
4782;64
4785;201
4800;21
4800;31
4826;9
4845;81
4930;7
4930;10
4930;21
4930;32
4930;56
4930;62
4930;93
4930;120
4930;122
4930;148
4930;259
4930;266
4930;313
4930;374
4930;466
4930;492
4930;691
4930;692
4930;744
4930;911
4930;1005
4930;1146
4930;1177
4930;1185
4930;1360
4930;1390
4930;1806
4934;11
4953;9
4953;152
4953;199
4953;534
4953;1110
4959;191
4959;328
4968;96
4988;24
4992;1
4992;3
4992;12
4992;19
4992;30
4992;70
4992;99
4992;146
4992;216
5033;113
5061;481
5071;3
5071;13
5175;32
5207;109
5207;446
5224;87
5285;98
5333;116
5344;516
5351;10
5352;10
5352;468
5370;9
5378;96
5378;153
5378;333
5378;340
5378;360
5378;539
5378;1177
5378;1203
5378;1379
5378;1533
5378;1813
5378;1833
5378;1920
5378;2124
5384;9
5384;56
5384;94
5384;96
5384;195
5414;6
5414;64
5427;13
5427;25
5427;98
5436;3
5436;28
5436;70
5436;105
5436;146
5436;359
5436;418
5447;265
5456;514
5481;13
5515;90
5518;54
5537;835
5558;8
5558;1141
5560;152
5560;176
5560;612
5560;1470
5562;6
5562;32
5562;87
5562;141
5562;148
5562;499
5562;701
5562;824
5562;859
5562;1084
5562;1163
5562;1680
5578;21
5578;314
5578;945
5578;2049
5605;3
5617;6
5651;5
5651;17
5651;628
5661;32
5661;125
5661;144
5661;318
5661;423
5667;9
5667;56
5667;76
5667;486
5676;88
5698;3
5698;28
5731;176
5737;2123
5738;1436
5746;9
5752;9
5755;676
5755;1006
5755;1322
5755;2013
5777;31
5777;62
5777;125
5811;4
5844;1319
5848;10
5900;6
5900;8
5900;21
5900;64
5900;93
5900;145
5900;173
5900;191
5900;202
5900;259
5900;328
5900;403
5900;446
5900;499
5900;583
5900;970
5900;1005
5949;96
5949;639
5970;898
5976;3
5995;6
5995;257
6000;21
6003;21
6004;142
6051;32
6051;90
6051;125
6051;141
6051;229
6051;366
6054;972
6063;8
6063;11
6066;36
6066;51
6066;93
6066;447
6089;714
6143;7
6159;70
6181;6
6197;1
6197;104
6197;150
6197;686
6216;31
6216;200
6216;207
6216;396
6216;583
6227;77
6243;5
6245;140
6245;661
6258;7
6262;148
6262;209
6271;1
6271;4
6271;28
6302;9
6302;21
6305;99
6309;198
6363;60
6363;98
6363;156
6363;316
6371;97
6388;6
6388;9
6388;267
6388;928
6411;45
6459;5
6475;7
6475;122
6498;470
6517;6
6517;9
6531;131
6561;10
6584;362
6597;1
6669;64
6720;9
6720;152
6724;87
6724;142
6724;147
6724;191
6729;24
6729;83
6729;114
6729;217
6746;6
6746;202
6746;308
6746;328
6746;403
6746;446
6746;770
6750;44
6750;60
6750;156
6750;317
6768;3
6768;4
6768;19
6787;244
6809;8
6809;192
6819;78
6851;183
6878;7
6878;9
6878;10
6887;62
6887;221
6955;98
6956;31
6958;1814
6967;10
6967;240
6967;310
6967;339
6967;341
6967;629
6967;645
6967;714
7051;25
7061;42
7078;10
7078;626
7086;62
7086;64
7086;148
7086;153
7086;169
7086;173
7086;187
7086;199
7086;212
7086;273
7086;278
7086;378
7126;32
7194;165
7194;366
7236;122
7245;9
7245;10
7245;87
7245;93
7245;140
7245;229
7245;313
7245;331
7245;423
7245;645
7245;904
7245;1249
7245;1349
7245;2061
7249;6
7258;176
7285;390
7318;12
7318;13
7318;25
7318;36
7318;54
7318;70
7318;99
7318;206
7318;292
7344;3
7344;4
7344;20
7344;25
7344;43
7344;44
7344;373
7360;31
7360;741
7360;1705
7360;2106
7395;44
7413;31
7413;202
7413;207
7461;1043
7469;815
7482;5
7482;17
7569;6
7569;31
7569;403
7578;78
7582;32
7602;8
7602;126
7602;145
7602;187
7602;207
7602;209
7602;302
7602;349
7621;76
7621;87
7621;90
7621;120
7621;125
7621;169
7621;179
7621;201
7621;207
7621;349
7621;404
7654;9
7654;31
7654;76
7654;82
7654;120
7654;153
7654;176
7654;187
7654;201
7654;246
7654;336
7654;386
7654;443
7654;460
7654;512
7654;629
7654;707
7654;919
7654;939
7654;1109
7654;2065
7658;708
7659;1431
7670;884
7694;96
7700;10
7709;8
7709;76
7709;458
7731;31
7731;62
7731;87
7731;109
7731;176
7731;229
7731;318
7731;352
7731;388
7731;407
7731;423
7731;429
7731;586
7731;609
7731;655
7731;699
7731;700
7731;723
7731;732
7731;830
7731;853
7731;893
7731;900
7731;908
7731;1077
7731;1116
7731;1131
7731;1381
7731;1633
7731;1719
7731;1722
7731;2187
7757;64
7757;259
7757;340
7757;908
7761;1
7761;3
7761;13
7761;62
7761;368
7761;1267
7763;9
7763;10
7774;36
7774;44
7803;3
7806;234
7811;90
7811;142
7811;386
7811;469
7811;534
7811;680
7811;1826
7836;9
7847;1360
7866;29
7868;90
7879;911
7879;1767
7880;9
7880;10
7880;62
7880;78
7880;122
7880;140
7880;165
7880;267
7880;313
7880;1481
7912;118
7955;9
7957;4
7966;1245
7993;21
8052;8
8059;28
8059;139
8059;190
8059;198
8059;263
8063;931
8086;7
8089;471
8096;27
8105;402
8118;3
8120;6
8126;799
8130;4
8130;19
8130;31
8130;49
8130;93
8130;147
8130;171
8130;251
8132;3
8134;262
8136;4
8158;6
8158;31
8158;97
8158;1726
8166;31
8166;82
8166;331
8171;121
8180;43
8181;42
8181;287
8226;75
8226;89
8249;33
8275;10
8281;94
8284;7
8357;8
8357;378
8371;6
8371;88
8374;10
8375;21
8375;31
8375;32
8375;64
8375;77
8375;96
8375;122
8375;125
8375;141
8375;148
8375;152
8375;169
8375;187
8375;201
8375;207
8375;209
8375;267
8375;397
8375;537
8375;629
8375;824
8375;991
8375;995
8375;1141
8375;1475
8375;1562
8417;8
8417;122
8417;187
8417;273
8454;584
8457;6
8484;10
8484;184
8484;408
8484;534
8484;2257
8502;17
8502;260
8502;299
8505;221
8561;11
8585;9
8588;103
8604;6
8604;8
8604;10
8604;31
8604;32
8604;56
8604;64
8604;71
8604;87
8604;90
8604;96
8604;109
8604;125
8604;142
8604;173
8604;187
8604;240
8604;253
8604;302
8604;310
8604;313
8604;318
8604;366
8604;370
8604;388
8604;428
8604;429
8604;443
8604;482
8604;499
8604;610
8604;633
8604;645
8604;661
8604;696
8604;771
8604;852
8604;898
8604;905
8604;991
8604;1143
8604;1199
8604;1520
8604;1568
8604;1789
8612;9
8612;122
8616;24
8628;44
8675;224
8679;6
8679;64
8679;328
8679;446
8700;534
8703;11
8703;468
8745;1
8745;3
8745;13
8745;70
8745;104
8745;323
8745;470
8745;696
8782;31
8840;1122
8862;6
8862;31
8862;122
8862;126
8862;142
8862;176
8862;348
8862;494
8862;584
8862;610
8862;633
8862;1199
8862;1229
8862;1581
8898;10
8904;2
8906;190
8910;9
8910;88
8910;413
8933;99
8949;1
8995;120
8995;661
9007;29
9007;32
9007;77
9007;193
9007;229
9007;266
9007;401
9007;537
9007;722
9007;1585
9010;240
9012;6
9012;21
9012;253
9012;389
9019;70
9019;263
9025;6
9025;7
9025;10
9025;31
9025;32
9025;96
9025;103
9025;120
9025;122
9025;147
9025;152
9025;187
9025;208
9025;246
9025;261
9025;266
9025;267
9025;302
9025;360
9025;404
9025;471
9025;492
9025;506
9025;530
9025;693
9025;812
9025;869
9025;923
9025;1039
9025;1188
9025;1192
9025;1282
9025;1326
9025;1459
9025;1460
9025;1469
9025;1505
9025;1689
9025;1921
9049;7
9097;46
9097;636
9097;638
9108;60
9113;88
9122;28
9129;32
9129;2058
9138;7
9141;30
9141;94
9146;96
9153;199
9153;1408
9154;331
9176;60
9182;3
9196;115
9196;118
9222;995
9234;6
9248;109
9252;292
9311;94
9311;205
9326;9
9338;6
9338;8
9338;62
9388;43
9414;7
9414;420
9441;142
9441;191
9441;469
9441;642
9489;165
9490;6
9490;7
9490;8
9490;10
9490;21
9490;29
9490;31
9490;62
9490;64
9490;76
9490;77
9490;82
9490;88
9490;93
9490;120
9490;121
9490;140
9490;144
9490;145
9490;147
9490;148
9490;153
9490;169
9490;179
9490;202
9490;207
9490;221
9490;266
9490;270
9490;273
9490;286
9490;308
9490;310
9490;328
9490;345
9490;355
9490;362
9490;370
9490;402
9490;403
9490;428
9490;446
9490;492
9490;499
9490;552
9490;565
9490;573
9490;673
9490;679
9490;716
9490;748
9490;750
9490;770
9490;904
9490;972
9490;977
9490;1141
9490;1205
9490;1307
9490;1314
9490;1365
9490;1392
9490;1618
9490;1872
9491;191
9491;2012
9561;6
9567;9
9567;78
9567;199
9572;426
9627;131
9642;7
9704;404
9722;6
9722;31
9722;64
9722;87
9722;88
9722;166
9722;187
9722;199
9722;310
9722;352
9722;429
9722;460
9722;473
9722;482
9722;531
9722;633
9722;645
9722;673
9722;1112
9722;1136
9722;1439
9722;1514
9752;1660
9762;852
9802;4
9802;19
9802;43
9802;52
9802;1806
9817;1573
9841;1535
9886;121
9886;307
9886;1302
9954;584
9954;1165
10027;64
10080;738
10084;7
10150;1236
10153;8
10153;120
10153;147
10153;404
10154;176
10162;464
10191;413
10235;335
10244;116
10252;19
10252;25
10252;570
10273;19
10273;520
10284;6
10284;8
10284;21
10284;31
10284;90
10284;121
10284;122
10284;125
10284;141
10284;176
10284;187
10284;195
10284;201
10284;229
10284;240
10284;253
10284;261
10284;267
10284;318
10284;341
10284;344
10284;388
10284;413
10284;444
10284;473
10284;506
10284;534
10284;548
10284;555
10284;792
10284;921
10284;1131
10284;1134
10284;1520
10308;96
10312;229
10312;240
10312;339
10312;443
10312;991
10312;1499
10329;8
