source;target;weight
-3.0;-2.0;1
-3.0;-1.0;42
-3.0;6.0;239
-3.0;8.0;91
-3.0;10.0;293
-3.0;16.0;138
-3.0;31.0;210
-3.0;62.0;85
-3.0;64.0;117
-3.0;67.0;198
-3.0;77.0;36
-3.0;82.0;62
-3.0;87.0;55
-3.0;88.0;149
-3.0;122.0;128
-3.0;136.0;15
-3.0;140.0;51
-3.0;173.0;113
-3.0;200.0;4
-3.0;205.0;11
-3.0;215.0;94
-3.0;259.0;46
-3.0;280.0;30
-3.0;315.0;56
-3.0;353.0;3
-3.0;355.0;15
-3.0;527.0;4
-3.0;574.0;7
-3.0;706.0;20
-3.0;723.0;27
-3.0;735.0;5
-3.0;1199.0;37
-3.0;1550.0;7
-3.0;1764.0;4
-2.0;-1.0;7
-2.0;6.0;21
-2.0;8.0;16
-2.0;10.0;25
-2.0;16.0;20
-2.0;31.0;19
-2.0;62.0;6
-2.0;64.0;7
-2.0;67.0;13
-2.0;77.0;5
-2.0;82.0;6
-2.0;87.0;2
-2.0;88.0;12
-2.0;122.0;9
-2.0;136.0;3
-2.0;140.0;8
-2.0;173.0;7
-2.0;200.0;1
-2.0;215.0;7
-2.0;259.0;4
-2.0;280.0;4
-2.0;315.0;4
-2.0;353.0;2
-2.0;355.0;3
-2.0;527.0;1
-2.0;574.0;2
-2.0;706.0;2
-2.0;723.0;1
-2.0;735.0;1
-2.0;1764.0;1
-2.0;205.0;1
-2.0;1199.0;3
-1.0;6.0;427
-1.0;8.0;184
-1.0;10.0;443
-1.0;16.0;315
-1.0;31.0;407
-1.0;62.0;145
-1.0;64.0;244
-1.0;67.0;328
-1.0;77.0;68
-1.0;82.0;98
-1.0;87.0;106
-1.0;88.0;275
-1.0;122.0;206
-1.0;136.0;46
-1.0;140.0;104
-1.0;173.0;221
-1.0;200.0;7
-1.0;205.0;16
-1.0;215.0;162
-1.0;259.0;96
-1.0;280.0;47
-1.0;315.0;86
-1.0;353.0;7
-1.0;355.0;18
-1.0;527.0;9
-1.0;574.0;14
-1.0;706.0;57
-1.0;723.0;59
-1.0;735.0;16
-1.0;1199.0;75
-1.0;1550.0;10
-1.0;1764.0;8
6.0;8.0;1835
6.0;10.0;5017
6.0;16.0;1974
6.0;31.0;4537
6.0;62.0;1002
6.0;64.0;3092
6.0;67.0;3136
6.0;77.0;450
6.0;82.0;627
6.0;87.0;938
6.0;88.0;2362
6.0;122.0;1391
6.0;136.0;243
6.0;140.0;621
6.0;173.0;1840
6.0;200.0;68
6.0;205.0;86
6.0;215.0;968
6.0;259.0;781
6.0;280.0;286
6.0;315.0;691
6.0;353.0;34
6.0;355.0;111
6.0;527.0;49
6.0;574.0;40
6.0;706.0;322
6.0;723.0;366
6.0;735.0;115
6.0;1199.0;471
6.0;1550.0;87
6.0;1764.0;48
8.0;10.0;2000
8.0;16.0;1133
8.0;31.0;1390
8.0;62.0;600
8.0;64.0;873
8.0;67.0;1078
8.0;77.0;323
8.0;82.0;423
8.0;87.0;412
8.0;88.0;873
8.0;122.0;598
8.0;136.0;200
8.0;140.0;378
8.0;173.0;694
8.0;200.0;36
8.0;205.0;62
8.0;215.0;441
8.0;259.0;326
8.0;280.0;133
8.0;315.0;429
8.0;353.0;21
8.0;355.0;74
8.0;527.0;37
8.0;574.0;34
8.0;706.0;119
8.0;723.0;111
8.0;735.0;82
8.0;1199.0;184
8.0;1550.0;50
8.0;1764.0;20
10.0;16.0;2135
10.0;31.0;3891
10.0;62.0;1178
10.0;64.0;2239
10.0;67.0;3258
10.0;77.0;527
10.0;82.0;705
10.0;87.0;803
10.0;88.0;2323
10.0;122.0;1719
10.0;136.0;241
10.0;140.0;698
10.0;173.0;1661
10.0;200.0;81
10.0;205.0;97
10.0;215.0;1014
10.0;259.0;686
10.0;280.0;296
10.0;315.0;739
10.0;353.0;38
10.0;355.0;116
10.0;527.0;59
10.0;574.0;57
10.0;706.0;275
10.0;723.0;317
10.0;735.0;99
10.0;1199.0;442
10.0;1550.0;115
10.0;1764.0;41
16.0;31.0;1583
16.0;62.0;681
16.0;64.0;973
16.0;67.0;1223
16.0;77.0;337
16.0;82.0;446
16.0;87.0;377
16.0;88.0;999
16.0;122.0;710
16.0;136.0;217
16.0;140.0;499
16.0;173.0;759
16.0;200.0;37
16.0;205.0;65
16.0;215.0;514
16.0;259.0;381
16.0;280.0;160
16.0;315.0;342
16.0;353.0;22
16.0;355.0;65
16.0;527.0;38
16.0;574.0;40
16.0;706.0;151
16.0;723.0;156
16.0;735.0;81
16.0;1199.0;193
16.0;1550.0;36
16.0;1764.0;26
31.0;62.0;844
31.0;64.0;2450
31.0;67.0;2559
31.0;77.0;400
31.0;82.0;571
31.0;87.0;1061
31.0;88.0;1951
31.0;122.0;1152
31.0;136.0;208
31.0;140.0;529
31.0;173.0;1541
31.0;200.0;52
31.0;205.0;72
31.0;215.0;811
31.0;259.0;686
31.0;280.0;254
31.0;315.0;706
31.0;353.0;35
31.0;355.0;103
31.0;527.0;46
31.0;574.0;43
31.0;706.0;362
31.0;723.0;445
31.0;735.0;102
31.0;1199.0;459
31.0;1550.0;78
31.0;1764.0;46
62.0;64.0;544
62.0;67.0;723
62.0;77.0;200
62.0;82.0;259
62.0;87.0;197
62.0;88.0;611
62.0;122.0;428
62.0;136.0;109
62.0;140.0;257
62.0;173.0;489
62.0;200.0;13
62.0;205.0;45
62.0;215.0;339
62.0;259.0;238
62.0;280.0;114
62.0;315.0;255
62.0;353.0;18
62.0;355.0;49
62.0;527.0;21
62.0;574.0;16
62.0;706.0;89
62.0;723.0;84
62.0;735.0;54
62.0;1199.0;159
62.0;1550.0;30
62.0;1764.0;13
64.0;67.0;1701
64.0;77.0;282
64.0;82.0;350
64.0;87.0;513
64.0;88.0;1370
64.0;122.0;717
64.0;136.0;140
64.0;140.0;337
64.0;173.0;1171
64.0;200.0;31
64.0;205.0;51
64.0;215.0;569
64.0;259.0;608
64.0;280.0;179
64.0;315.0;441
64.0;353.0;31
64.0;355.0;74
64.0;527.0;42
64.0;574.0;25
64.0;706.0;207
64.0;723.0;225
64.0;735.0;101
64.0;1199.0;328
64.0;1550.0;56
64.0;1764.0;31
67.0;77.0;314
67.0;82.0;463
67.0;87.0;570
67.0;88.0;1561
67.0;122.0;1035
67.0;136.0;162
67.0;140.0;425
67.0;173.0;1226
67.0;200.0;41
67.0;205.0;60
67.0;215.0;731
67.0;259.0;514
67.0;280.0;218
67.0;315.0;487
67.0;353.0;30
67.0;355.0;84
67.0;527.0;42
67.0;574.0;32
67.0;706.0;218
67.0;723.0;272
67.0;735.0;84
67.0;1199.0;335
67.0;1550.0;67
67.0;1764.0;31
77.0;82.0;166
77.0;87.0;104
77.0;88.0;280
77.0;122.0;187
77.0;136.0;76
77.0;140.0;135
77.0;173.0;226
77.0;200.0;10
77.0;205.0;41
77.0;215.0;138
77.0;259.0;112
77.0;280.0;42
77.0;315.0;160
77.0;353.0;7
77.0;355.0;24
77.0;527.0;13
77.0;574.0;13
77.0;706.0;38
77.0;723.0;39
77.0;735.0;19
77.0;1199.0;80
77.0;1550.0;12
77.0;1764.0;5
82.0;87.0;160
82.0;88.0;370
82.0;122.0;268
82.0;136.0;87
82.0;140.0;174
82.0;173.0;303
82.0;200.0;12
82.0;205.0;37
82.0;215.0;196
82.0;259.0;156
82.0;280.0;68
82.0;315.0;194
82.0;353.0;12
82.0;355.0;31
82.0;527.0;14
82.0;574.0;16
82.0;706.0;69
82.0;723.0;68
82.0;735.0;29
82.0;1199.0;111
82.0;1550.0;19
82.0;1764.0;12
87.0;88.0;444
87.0;122.0;268
87.0;136.0;56
87.0;140.0;146
87.0;173.0;390
87.0;200.0;15
87.0;205.0;19
87.0;215.0;221
87.0;259.0;162
87.0;280.0;94
87.0;315.0;257
87.0;353.0;6
87.0;355.0;26
87.0;527.0;16
87.0;574.0;11
87.0;706.0;145
87.0;723.0;204
87.0;735.0;27
87.0;1199.0;160
87.0;1550.0;16
87.0;1764.0;18
88.0;122.0;771
88.0;136.0;136
88.0;140.0;339
88.0;173.0;978
88.0;200.0;35
88.0;205.0;52
88.0;215.0;589
88.0;259.0;427
88.0;280.0;186
88.0;315.0;378
88.0;353.0;22
