,name
0,ABC News
1,AlterNet
2,Associated Press
3,Associated Press Fact Check
4,Axios
5,BBC News
6,Bloomberg
7,Breitbart News
8,BuzzFeed News
9,CBS News
10,The Christian Science Monitor
11,CNN
12,CNN
13,Daily Beast
14,Daily Mail
15,Democracy Now!
16,Forbes
17,Fox News
18,Fox News
19,HuffPost
20,Insider
21,Mother Jones
22,MSNBC
23,National Review
24,NBC News
25,New York Post
26,The New York Times
27,The New York Times
28,NewsNation
29,Newsweek
30,NPR
31,NPR
32,Politico
33,Reasontv
34,Reuters
35,Slate
36,American Spectator
37,The Atlantic
38,The Blaze
39,Daily Caller
40,The Daily Wire
41,The Economist
42,Epoch News
43,The Federalist
44,The Guardian
45,The Hill
46,The Intercept
47,The New Yorker
48,Time
49,USA TODAY
50,Vox
51,Wall Street Journal
52,Wall Street Journal
53,Washington Examiner
54,Washington Free Beac...
55,Washington Post
56,Washington Times
